Task ID,ORS_Delta,DQS_Delta,FIS_Delta,BAS_Delta,Execution_Improved_Count
task_036,33.4,7.0,0.0,10.0,6
task_034,23.1,0.0,0.54,0.0,3
task_032,19.37,6.0,0.0,10.0,5
task_027,16.89,0.25,0.0,10.0,5
task_029,8.9,11.5,0.54,-10.0,3
task_042,8.42,0.75,0.54,0.0,4
task_040,7.78,-0.75,0.54,0.0,2
task_033,1.7,3.5,0.0,0.0,3
task_038,1.63,6.5,0.0,0.0,3
task_035,1.06,4.5,0.0,0.0,3
task_031,0.85,1.75,0.0,0.0,3
task_045,0.56,2.0,0.0,0.0,3
task_044,0.54,1.0,0.0,0.0,3
task_028,0.43,3.0,0.0,0.0,2
task_026,0.32,0.75,0.0,0.0,3
task_039,0.22,0.25,0.0,0.0,3
task_043,0.22,2.75,0.0,0.0,2
task_014,0.0,0.0,0.0,0.0,0
task_015,0.0,0.0,0.0,0.0,0
task_016,0.0,0.0,0.0,0.0,0
task_017,0.0,0.0,0.0,0.0,0
task_018,0.0,0.0,0.0,0.0,0
task_019,0.0,0.0,0.0,0.0,0
task_020,0.0,0.0,0.0,0.0,0
task_021,0.0,0.0,0.0,0.0,0
task_022,0.0,0.0,0.0,0.0,0
task_023,0.0,0.0,0.0,0.0,0
task_024,0.0,0.0,0.0,0.0,0
task_025,0.0,0.0,0.0,0.0,0
task_041,-0.31,-0.75,0.0,0.0,0
task_037,-0.85,-1.75,0.0,0.0,0
task_030,-5.85,3.75,-0.44,0.0,1
